1,1682,167,1245,28,2020-03-22 12:28:02
1,1682,167,1364,43,2020-03-21 12:28:02
1,1682,167,1042,128,2020-03-20 12:28:02
1,1682,167,197,89,2020-03-19 12:28:02
1,1682,167,455,80,2020-03-18 12:28:02
1,1682,167,970,27,2020-03-17 12:28:02
1,1682,167,1073,63,2020-03-16 12:28:02
2,1493,450,655,359,2020-03-22 12:28:02
2,1493,450,1095,168,2020-03-21 12:28:02
2,1493,450,14,396,2020-03-20 12:28:02
2,1493,450,431,419,2020-03-19 12:28:02
2,1493,450,1267,298,2020-03-18 12:28:02
2,1493,450,1142,187,2020-03-17 12:28:02
2,1493,450,79,169,2020-03-16 12:28:02
3,1002,273,601,24,2020-03-22 12:28:02
3,1002,273,366,149,2020-03-21 12:28:02
3,1002,273,737,15,2020-03-20 12:28:02
3,1002,273,886,253,2020-03-19 12:28:02
3,1002,273,212,49,2020-03-18 12:28:02
3,1002,273,805,127,2020-03-17 12:28:02
3,1002,273,935,88,2020-03-16 12:28:02
4,1814,101,1386,0,2020-03-22 12:28:02
4,1814,101,1656,48,2020-03-21 12:28:02
4,1814,101,1037,2,2020-03-20 12:28:02
4,1814,101,1743,29,2020-03-19 12:28:02
4,1814,101,1665,74,2020-03-18 12:28:02
4,1814,101,1126,48,2020-03-17 12:28:02
4,1814,101,126,94,2020-03-16 12:28:02
5,1248,497,461,483,2020-03-22 12:28:02
5,1248,497,950,292,2020-03-21 12:28:02
5,1248,497,680,287,2020-03-20 12:28:02
5,1248,497,673,359,2020-03-19 12:28:02
5,1248,497,809,469,2020-03-18 12:28:02
5,1248,497,760,13,2020-03-17 12:28:02
5,1248,497,1116,236,2020-03-16 12:28:02
6,1388,119,1125,53,2020-03-22 12:28:02
6,1388,119,742,55,2020-03-21 12:28:02
6,1388,119,779,114,2020-03-20 12:28:02
6,1388,119,832,93,2020-03-19 12:28:02
6,1388,119,571,43,2020-03-18 12:28:02
6,1388,119,1147,48,2020-03-17 12:28:02
6,1388,119,1227,118,2020-03-16 12:28:02
7,1908,314,858,141,2020-03-22 12:28:02
7,1908,314,977,97,2020-03-21 12:28:02
7,1908,314,684,312,2020-03-20 12:28:02
7,1908,314,373,195,2020-03-19 12:28:02
7,1908,314,129,204,2020-03-18 12:28:02
7,1908,314,728,95,2020-03-17 12:28:02
7,1908,314,1507,183,2020-03-16 12:28:02
8,1891,364,290,80,2020-03-22 12:28:02
8,1891,364,218,56,2020-03-21 12:28:02
8,1891,364,212,264,2020-03-20 12:28:02
8,1891,364,1528,50,2020-03-19 12:28:02
8,1891,364,1108,33,2020-03-18 12:28:02
8,1891,364,1697,325,2020-03-17 12:28:02
8,1891,364,1499,39,2020-03-16 12:28:02
9,1831,275,1780,123,2020-03-22 12:28:02
9,1831,275,398,185,2020-03-21 12:28:02
9,1831,275,748,248,2020-03-20 12:28:02
9,1831,275,1410,83,2020-03-19 12:28:02
9,1831,275,1755,140,2020-03-18 12:28:02
9,1831,275,1528,87,2020-03-17 12:28:02
9,1831,275,1247,178,2020-03-16 12:28:02
10,1153,118,612,48,2020-03-22 12:28:02
10,1153,118,592,92,2020-03-21 12:28:02
10,1153,118,60,96,2020-03-20 12:28:02
10,1153,118,137,116,2020-03-19 12:28:02
10,1153,118,485,56,2020-03-18 12:28:02
10,1153,118,431,82,2020-03-17 12:28:02
10,1153,118,195,50,2020-03-16 12:28:02
11,1517,481,13,162,2020-03-22 12:28:02
11,1517,481,1065,321,2020-03-21 12:28:02
11,1517,481,684,103,2020-03-20 12:28:02
11,1517,481,916,4,2020-03-19 12:28:02
11,1517,481,1320,381,2020-03-18 12:28:02
11,1517,481,821,289,2020-03-17 12:28:02
11,1517,481,845,234,2020-03-16 12:28:02
12,1909,405,1329,365,2020-03-22 12:28:02
12,1909,405,1734,390,2020-03-21 12:28:02
12,1909,405,1056,119,2020-03-20 12:28:02
12,1909,405,1785,128,2020-03-19 12:28:02
12,1909,405,1255,77,2020-03-18 12:28:02
12,1909,405,77,35,2020-03-17 12:28:02
12,1909,405,293,17,2020-03-16 12:28:02
13,1051,416,512,301,2020-03-22 12:28:02
13,1051,416,200,366,2020-03-21 12:28:02
13,1051,416,644,320,2020-03-20 12:28:02
13,1051,416,339,78,2020-03-19 12:28:02
13,1051,416,532,297,2020-03-18 12:28:02
13,1051,416,623,123,2020-03-17 12:28:02
13,1051,416,360,150,2020-03-16 12:28:02
14,1668,338,1170,125,2020-03-22 12:28:02
14,1668,338,870,324,2020-03-21 12:28:02
14,1668,338,985,145,2020-03-20 12:28:02
14,1668,338,626,76,2020-03-19 12:28:02
14,1668,338,684,309,2020-03-18 12:28:02
14,1668,338,336,289,2020-03-17 12:28:02
14,1668,338,1072,252,2020-03-16 12:28:02
15,1221,336,188,278,2020-03-22 12:28:02
15,1221,336,173,314,2020-03-21 12:28:02
15,1221,336,957,326,2020-03-20 12:28:02
15,1221,336,524,33,2020-03-19 12:28:02
15,1221,336,828,73,2020-03-18 12:28:02
15,1221,336,84,176,2020-03-17 12:28:02
15,1221,336,506,73,2020-03-16 12:28:02
16,1544,346,842,314,2020-03-22 12:28:02
16,1544,346,677,345,2020-03-21 12:28:02
16,1544,346,1226,288,2020-03-20 12:28:02
16,1544,346,13,172,2020-03-19 12:28:02
16,1544,346,1527,153,2020-03-18 12:28:02
16,1544,346,427,160,2020-03-17 12:28:02
16,1544,346,1015,191,2020-03-16 12:28:02
17,1712,439,1271,168,2020-03-22 12:28:02
17,1712,439,846,391,2020-03-21 12:28:02
17,1712,439,359,84,2020-03-20 12:28:02
17,1712,439,1462,415,2020-03-19 12:28:02
17,1712,439,1612,262,2020-03-18 12:28:02
17,1712,439,730,108,2020-03-17 12:28:02
17,1712,439,1149,207,2020-03-16 12:28:02
18,1301,298,318,270,2020-03-22 12:28:02
18,1301,298,228,128,2020-03-21 12:28:02
18,1301,298,589,115,2020-03-20 12:28:02
18,1301,298,730,144,2020-03-19 12:28:02
18,1301,298,758,223,2020-03-18 12:28:02
18,1301,298,255,190,2020-03-17 12:28:02
18,1301,298,1043,113,2020-03-16 12:28:02
19,1469,357,1387,17,2020-03-22 12:28:02
19,1469,357,955,256,2020-03-21 12:28:02
19,1469,357,359,84,2020-03-20 12:28:02
19,1469,357,560,68,2020-03-19 12:28:02
19,1469,357,681,22,2020-03-18 12:28:02
19,1469,357,942,328,2020-03-17 12:28:02
19,1469,357,28,167,2020-03-16 12:28:02
20,1300,375,1091,44,2020-03-22 12:28:02
20,1300,375,747,44,2020-03-21 12:28:02
20,1300,375,716,272,2020-03-20 12:28:02
20,1300,375,726,49,2020-03-19 12:28:02
20,1300,375,653,30,2020-03-18 12:28:02
20,1300,375,1201,270,2020-03-17 12:28:02
20,1300,375,1135,350,2020-03-16 12:28:02
21,1348,143,728,96,2020-03-22 12:28:02
21,1348,143,1252,26,2020-03-21 12:28:02
21,1348,143,174,11,2020-03-20 12:28:02
21,1348,143,770,23,2020-03-19 12:28:02
21,1348,143,1040,85,2020-03-18 12:28:02
21,1348,143,710,73,2020-03-17 12:28:02
21,1348,143,302,59,2020-03-16 12:28:02
22,1672,407,1336,236,2020-03-22 12:28:02
22,1672,407,986,307,2020-03-21 12:28:02
22,1672,407,526,31,2020-03-20 12:28:02
22,1672,407,196,193,2020-03-19 12:28:02
22,1672,407,1165,103,2020-03-18 12:28:02
22,1672,407,216,297,2020-03-17 12:28:02
22,1672,407,525,20,2020-03-16 12:28:02
23,1153,268,764,265,2020-03-22 12:28:02
