Celenus clinic Ortenau, 48.41263999999999, 8.01815
Mgen Center Medical And Dental De Strasbourg, 48.5811064, 7.756660199999999
Centre Hospitalier de Haguenau, 48.7988424, 7.7791459
Hospital Central Baden Baden-Baden bellows, 48.78457589999999, 8.216771699999999
ARCUS Sportklinik, 48.8978317, 8.665532899999999
St. Vincent clinics CJSC, 48.9993171, 8.389208900000002
Helios Heart Surgery Clinic Karlsruhe, 49.0182319, 8.375907500000002
Cmco : Surgical Medical Center And Obstetric Hospitals Academics De Strasbourg, 48.6007015, 7.7498385
Hôpital De L'elsau, 48.5652663, 7.7171827
Verwaltung, 48.7818631, 8.7232785
Kreiskrankenhaus Buehl Frauenklinik, 48.6850725, 8.141069700000001
Dialyse-Zentrum Baden-Baden, 48.7846926, 8.2161713
Kurklinik Wildbad, 48.7486459, 8.5480586
Ortenau Klinikum Achern-Oberkirch (Standort Oberkirch), 48.53451, 8.07935
Klinik für Strahlentherapie, 49.015284, 8.374406
Ortenau Klinikum Oberkirch Abteilung für Anästhesie, 48.5344895, 8.079439500000001
Vinzentius-Krankenhaus, 49.1905537, 8.114091700000001
Ev. Diakonissenanstalt Karlsruhe Rüppurr, 48.9720376, 8.4127203
Mütterberatungsstelle Staatl. Gesundheitsamt, 48.8606116, 8.212088699999999
Nephrologische Praxis und Dialyse Waldbronn, 48.92968639999999, 8.4725707
Evangelisches Krankenhaus Kalk gGmbH, 50.94134870000001, 7.008956299999999
Heilig Geist-Krankenhaus, 50.9919979, 6.923977199999999
St. Elisabeth-Krankenhaus Köln-Hohenlind, 50.9237464, 6.897513499999999
Marien Hospital Witten, 51.4452039, 7.337368
Sana Kliniken Duisburg, 51.3969065, 6.784719199999998
Evangelisches Klinikum Köln Weyertal gGmbH, 50.927612, 6.925112200000001
St. Marien-Hospital, 50.9473778, 6.96236
Evangelische Stiftung Tannenhof, 51.204577, 7.226809500000001
Kreiskrankenhaus Gummersbach, 51.0155118, 7.5680209
Helios Herzzentrum Wuppertal, 51.2497572, 7.1332991
Eduardus-Krankenhaus, 50.9325316, 6.980867700000001
Dr. Becker Klinik Juliana, 51.30979670000001, 7.238013499999999
St. Agatha hospital Cologne, 50.9871227, 6.960106299999999
St. Martin's Hospital Dusseldorf, 51.2117305, 6.7607537
Elisabeth-Krankenhaus Essen, 51.44518540000001, 7.0327251
Helios Klinikum Krefeld, 51.3202457, 6.567502499999999
Smash, 51.22411109999999, 6.7796458
Klinikum Leverkusen, 51.03243759999999, 7.033229599999999
